"Ticker","Administrador","Tipo de Fundo"
"RDES11","Banco do Brasil","Fundo de Tijolo"
"BCRI11","Banco Fator","Fundo de Papel"
"VRTA11","Banco Fator","Fundo de Papel"
"BBFO11","BB DTVM","Fundo de Fundos"
"DOVL11B","BNYMELLON",""
"FATN11","BR Capital DTVM","Fundo de Tijolo"
"FISC11","BR Capital DTVM","Fundo de Tijolo"
"PRSV11","Bradesco","Fundo de Tijolo"
"BCIA11","Bradesco","Fundo de Fundos"
"NEWL11","Brasil Plural","Fundo de Tijolo"
"MINT11","Brasil Plural","Fundo de Tijolo"
"PLCR11","Brasil Plural","Fundo de Papel"
"JFLL11","Brasil Plural","Fundo de Tijolo"
"QAMI11","Brasil Plural",""
"NEWU11","Brasil Plural","Fundo de Tijolo"
"PLOG11","Brasil Plural","Fundo de Tijolo"
"RZTR11","Brasil Plural","Fundo de Tijolo"
"SAIC11B","BRB",""
"PABY11","BRKB",""
"YUFI11B","BRL Trust Investimentos","Fundo de Tijolo"
"RBFF11","BRL Trust Investimentos","Fundo de Fundos"
"BRIP11","BRL Trust Investimentos","Fundo de Desenvolvimento"
"GALG11","BRL Trust Investimentos","Fundo de Tijolo"
"QMFF11","BRL Trust Investimentos","Fundo de Fundos"
"VILG11","BRL Trust Investimentos","Fundo de Tijolo"
"HBRH11","BRL Trust Investimentos","Fundo de Tijolo"
"VINO11","BRL Trust Investimentos","Fundo de Tijolo"
"TRXF11","BRL Trust Investimentos","Fundo de Tijolo"
"MGLG11","BRL Trust Investimentos","Fundo de Tijolo"
"UBSR11","BRL Trust Investimentos","Fundo de Papel"
"RECT11","BRL Trust Investimentos","Fundo de Tijolo"
"RFOF11","BRL Trust Investimentos","Fundo de Fundos"
"BLMO11","BRL Trust Investimentos","Fundo de Tijolo"
"BLMR11","BRL Trust Investimentos","Fundo de Fundos"
"TEPP11","BRL Trust Investimentos","Fundo de Tijolo"
"RVBI11","BRL Trust Investimentos","Fundo de Fundos"
"VIUR11","BRL Trust Investimentos",""
"AFOF11","BRL Trust Investimentos","Fundo de Fundos"
"VIFI11","BRL Trust Investimentos","Fundo de Papel"
"HSRE11","BRL Trust Investimentos",""
"RBHY11","BRL Trust Investimentos","Fundo de Papel"
"CVBI11","BRL Trust Investimentos","Fundo de Papel"
"RBRP11","BRL Trust Investimentos","Fundo de Tijolo"
"TELD11","BRL Trust Investimentos",""
"QIFF11","BRL Trust Investimentos","Fundo de Fundos"
"SDIP11","BRL Trust Investimentos","Fundo de Tijolo"
"VISC11","BRL Trust Investimentos","Fundo de Tijolo"
"EVBI11","BRL Trust Investimentos","Fundo de Tijolo"
"RELG11","BRL Trust Investimentos","Fundo de Tijolo"
"HSAF11","BRL Trust Investimentos","Fundo de Papel"
